*	name	Klett Green Line 1 Vokabeln
sprechen (mit)/reden (mit)	to talk (to)
zeichnen	to draw
sein/-e	his
Familie	family
Mutter	mother
Großvater	grandfather
Opa	grandad
Bruder	brother
Schwester	sister
Vater	father
Papa, Vati	dad
Großmutter	grandmother
Oma	Grandma
glücklich, fröhlich	happy
Welche Farbe haben ...?	What colour are ...?
zu Hause	at home
Eltern	parents
Halbschwester	half-sister
Stiefvater	step-father
unser/-e	our
Wohnung	flat
Straße	road
über	over
Computerladen	computer shop
Geschäft, Laden	shop
sein	its
klein	small
Nasreen und ich sind ...	Nasreen and I are ...
Einzelkind	only child
Kind	child pl. children
Katze	cat
Tiger	tiger
nur	only
interessiert an	interested in
Mäuse	mice
Garten	garden
Schuppen, Gartenhäuschen	shed
Schlagzeug	drums
Chemiekasten	chemistry set
zuordnen	to match
Hund	dog
Foto	photo
jemandem zuhören	to listen to
warum	why
oben, im Obergeschoss	upstairs
unten, im Untergeschoss	downstairs
Nationalität	nationality
Familienstammbaum	family tree
verheiratet mit	married to
Tante	aunt
Onkel	uncle
geschieden von	divorced from
Cousin, Cousine	cousin
Mittagessen	lunch
Minute	minute
neben	next to
auf der linken Seite, links	on the left
auf der rechten Seite, rechts	on the right
europäisch, aus Europa	European
polnisch, aus Polen; Polnisch	Polish
weil, da	because
Polen	Poland
englisch, aus England	English
griechisch, aus Griechenland; Griechisch	Greek
heute	today
italienisch, aus Italien; Italienisch	Italian
euer; eure; Ihr(e)	your
ihr, ihre (Plural)	their
erzählen, sagen	to tell
Deutschland	Germany
Russland	Russia
russisch, aus Russland; Russisch	Russian
Griechenland	Greece
Italien	Italy
Türkei	Turkey
türkisch, aus der Türkei; Türkisch	Turkish
Spanien	Spain
spanisch, aus Spanien; Spanisch	Spanish
